names
1stcef
3-c
3-f
3-geocef
3bion
3d
3rd cef
5 fu phares
5-fluril
5x
a-b1
a-cal
a-cal d
a-cal dx
a-calm
a-card
a-care
a-clox
a-cof
a-cold
a-fenac
a-fenac k
a-fenac plus
a-fenac sr
a-flox
a-forte
a-kit
a-meb
a-mectin
a-migel
a-mycin
a-one
a-one plus
a-one xr
a-pak
a-phenicol
a-phenicol d
a-rox
a-spasm
a-statin
a-tetra
a-zyme
ab kit
ab-ds
abac
abaclor
abacten
abasaglar
abcap
abdolax
abdorin
abecab
abeclib
aben-ds
abentel
abetis
abetis plus
abex
abicin
abicon
abiret
abixa
abo kit
abolib
abpres
absol
ac pr
acaril
accolate
accuzith
ace
ace plus
ace power
ace xr
acebid
acecard
aceclof
aceclofen
aceclora
acecol
acedol
acedol sr
acedone-z
acedone-z plus
acefenac
acefra
acegic
acelex
acelock
acelon
acemox
acenac
acenopan
acep
acep plus
acepril
acepro
aceptin-r
aceril
acerux
acerux-h
aces plus
aceta
aceta extend
aceta one
aceta-pd
aceta-t
aceta-x
aceten
aceto
acetor
acetram
acf
acflam
aci ors
aci ors fruity
acicaft
acical
acical jr
acical-c
acical-d
acical-dx
acical-m
acical-mx
aciclon
acicot
acidron
acidrox m
acifix
aciflox
acilog
acilog mix
acin
acipam
aciphin
acitrin
acitrin-l
acl
aclasta
aclene
aclene plus
aclitol
acliz
acliz plus
aclo
aclobet
aclobet-n
aclonac
aclopain
aclosol
aclovix
acme's basok
acme's chyabanprash
acme's dextrose
acme's dextrose ds
acme's dns
acme's hartmann solution
acme's mannitol
acme's milk of magnesia
acme's ors
acme's spirulina
acmecilin
acmegra
acmina
acn
acne-aid
acnegel
acnesone
acora
acorex
acos
acryth
act
act plus
acteria
acticol
actidex
actifast
actilac
actilyse
actimom
actisal
activa
active plus
activit gold
activit silver
activit z
activit zi
actizen
actol
actolin
actomeg
actose
actrapid
actrapid flexpen
actrapid penfill
actrim
actrim-ds
actulose
acubis
acudipin
acudipin plus
acunac
acupain
acuren
acusan
acusan plus
acyvir
ad-all
adaben duo
adafil
adagel plus
adair
adalimab
adam 33
adapel
adarbi
adcal d
adcovit
adebrox
adecard
adecef
adecef ds
adecin
adegra
adegut
adelax
adempa
adetil
adexim
adflox
adfovir
adgar
adglim
adifex
adinir
adipal plus
adiponil
adiva
adiz
adlina
adlinameg
adlock
adlorin
admira
admira mr
admission
admox
admox ds
adnix
adnor
adocil
adolef
adonid
adonid ds
adora
adorex
adovas
adrebloc
adrenaline
adribin
adrin
adrinor
adrox
adryl
ads-10
adtrizin
aduvit
adv
advast
advel
advixa
adze
aerodyl
aerofen
aeron
aeron ft
aeron-ft
aeronid
aeropac
aerophin
aerovil
afanil
afatin
afexa
affrox
afinitor
afix
afix ds
afix-ds
afixime
aflox
afluzol
afm
afm-plus
afm-t
afrin
afrodic
afun
afun vt
afuvin
age m
age plus
agedefy
agerd
aggra
aggreno
aglip
agorest
agotin
agoxin
agrippal s1
aid
aid sr
aid tr
aire
airflow
airnaaf
airpro
airup
airway
ajardy
ajardy m
akarvia
akicin
aknill
aktivex
al-ds
alaclov
alacot
alacot ds
alacot max
aladay
aladay ds
aladay max
alafree
alagra
alanil
alargol
alarid
alaron
alartn
alarup
alat
alater
alatin
alatrol
alaxen
alba
albafen
albamax ds
albaplex
albasine
albatab
albazol ds
alben
alben ds
albenda ds
albendol
albendox
albentas
albezen
albezole
albol-ds
albrex
albumin human
albutein
alcadin
alcaft
alcafta
alcavir
alcefen
alcet
alchek
